objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,umw-1937.jpg,,,Goolrick Gymnasium,,,Image of Goolrick Gymnasium from the front.,Buildings and grounds;Goolrick Hall,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll003,umw-1463.jpg,,,Goolrick Hall under construction,,1967,,Buildings and grounds;Construction;Goolrick Hall,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll004,umw-1589.jpg,,,Monroe Hall,,,A view of Monroe from the front.,Buildings and grounds;Monroe Hall,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll005,umw-375.jpg,,,View of campus,,1932,"An image of campus grounds from 1932. From left to right, the buildings pictured are: Chandler Hall, Seacobeck Hall, Virginia Hall, Willard Hall, Monroe Hall, and the Alumnae Building.",Buildings and grounds;Monroe Hall;Willard Hall;Virginia Hall;Chandler Hall,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll006,umw-1547.jpg,,,Library in Virginia Hall,,1915,"A view of the books, tables, and chairs which occupied the library when it was housed in Virginia Hall.",Buildings and grounds;Residence Halls;Virginia Hall,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll007,umw-380.jpg,,,Fine Arts Center,,,"Side view of the Fine Arts Center, picturing the arcade connecting duPont and Melchers Hall.",Buildings and grounds;Melchers Hall;duPont Hall,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll008,umw-2477.jpg,,,Tracks in the snow outside the Fine Arts Center,,1982-03,A view of the Fine Arts Center with snow on the ground.,Snow;Buildings and grounds;Melchers Hall;duPont Hall,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll009,umw-3071.jpg,,,Foyer outside Dodd Auditorium,,,"The entrance foyer of Dodd Auditorium, empty except for some furniture, mirrors, and a statue of George Washington. A door is open at the far end, allowing light from the auditorium to spill into the foyer.",Buildings and grounds;Dodd Auditorium;George Washington Hall,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll010,umw-1384.jpg,,,Framar House,,1984-10,Framar House.,Buildings and grounds;Residence Halls;Framar House,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll011,umw-2996.jpg,,,Fairfax House,,1979-06,A view of Fairfax Alumni House.,Buildings and grounds;Fairfax House,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
coll012,umw-1686.jpg,,,Trench Hill,,1960,A view of Trench Hill from the front.,Trench Hill,"Fredericksburg, Virginia",,,,,Image;StillImage,image/jpeg,eng,"Copyright is retained by Special Collections and University Archives, Simpson Library, University of Mary Washington. This item is available for use in research, teaching, and private study. Items may not be reproduced or used for any commercial purposes without prior written consent from the University of Mary Washington",http://rightsstatements.org/vocab/InC-EDU/1.0/
